S/N,Code,Description,Table,Classification,Cleaned_Description
132,SA836S,"SKIN AND SUBCUTANEOUS TISSUE, ARTEIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA (LARGE AND DEEP-SEATED), EXCISION",5C,Existing,skin subcutaneous tissue arteiovenous malformationhemangiomalymphangioma large deepseated excision
133,SA837S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA ON FACE, HANDS, GENITALIA, EXCISION",4A,Existing,skin subcutaneous tissue arteriovenous malformationhemangiomalymphangioma face hand genitalia excision
134,SA838S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA >3CM EXCLUDING FACE, HANDS, GENITALIA, EXCISION",3A,Existing,skin subcutaneous tissue arteriovenous malformationhemangiomalymphangioma 3cm excluding face hand genitalia excision
135,SA839S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA <3CM EXCLUDING FACE, HANDS, GENITALIA,  EXCISION",2A,Existing,skin subcutaneous tissue arteriovenous malformationhemangiomalymphangioma 3cm excluding face hand genitalia excision
136,SA840S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA, ABSCESS/CELLULITIS/SIMILAR LESION<3CM, SAUCERISATION/INCISION & DRAINAGE",1A,Existing,skin subcutaneous tissue hematoma abscesscellulitissimilar lesion3cm saucerisationincision drainage
137,SA841S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA /CARBUNCLE CELLULITIS/SIMILAR LESION>3CM, SAUCERISATION/INCISION WITH DRAINAGE",1B,Existing,skin subcutaneous tissue hematoma carbuncle cellulitissimilar lesion3cm saucerisationincision drainage
138,SA842S,"SKIN AND  SUBCUTANEOUS TISSUE, LACERATIONS (DEEP >3CM/MULTIPLE) LACERATIONS, REPAIR/TOILET & SUTURE, WITH/WITHOUT DEBRIDEMENT",3B,Existing,skin subcutaneous tissue laceration deep 3cmmultiple laceration repairtoilet suture withwithout debridement
139,SA843S,"SKIN AND SUBCUTANEOUS TISSUE, LACERATION (SUPERFICIAL) OF LESS THAN 7CM, REPAIR",1B,Existing,skin subcutaneous tissue laceration superficial le 7cm repair
140,SA844S,"SKIN AND SUBCUTANEOUS TISSUE, LACERATION (SUPERFICIAL) OF MORE THAN 7CM, REPAIR",2C,Existing,skin subcutaneous tissue laceration superficial 7cm repair
141,SA845S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (LARGE >3CM AND COMPLICATED/MULTIPLE)",5C,Existing,skin subcutaneous tissue neurofibromatosis face neck excision large 3cm complicatedmultiple
142,SA846S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (LARGE)",4A,Existing,skin subcutaneous tissue neurofibromatosis face neck excision large
143,SA847S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (MODERATE)",3A,Existing,skin subcutaneous tissue neurofibromatosis face neck excision moderate
144,SA848S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (SMALL<3CM)",2A,Existing,skin subcutaneous tissue neurofibromatosis face neck excision small3cm
145,SA849S,"SKIN & SUBCUTANEOUS, PRE-SEPTAL/PERI-ORBITAL DERMOID/LESION, EXCISION",2A,Existing,skin subcutaneous preseptalperiorbital dermoidlesion excision
146,SA850S,"SKIN AND SUBCUTANEOUS TISSUE, SINUS (DEEP>3CM), EXCISION WITH/WITHOUT BIOPSY",2B,Existing,skin subcutaneous tissue sinus deep3cm excision withwithout biopsy
147,SA851S,"SKIN AND SUBCUTANEOUS TISSUE, SINUS (SHALLOW<3CM), EXCISION WITH/WITHOUT BIOPSY",1B,Existing,skin subcutaneous tissue sinus shallow3cm excision withwithout biopsy
148,SA853S,"SKIN AND SUBCUTANEOUS TISSUE, DEBRIDEMENT CONFINED TO SKIN, SUBCUTANEOUS FAT OR FASCIA ONLY (INCLUDES SUTURING OF WOUND WHEN PERFORMED).",1C,"Uptable, Descriptor change",skin subcutaneous tissue debridement confined skin subcutaneous fat fascia includes suturing wound performed
149,SA854S,"SKIN AND SUBCUTANEOUS TISSUE, WOUND (LARGE>3CM), SECONDARY SUTURE",1B,Existing,skin subcutaneous tissue wound large3cm secondary suture
150,SA855S,"SKIN AND SUBCUTANEOUS TISSUE, WOUND (SMALL<3CM), SECONDARY SUTURE",MSP,Existing,skin subcutaneous tissue wound small3cm secondary suture
151,SA856S,"SKIN, ANGIOMA, CAUTERISATION/INJECTION",1A,Existing,skin angioma cauterisationinjection
152,SA857S,"SKIN, BURNS (2% TO 5%), EXCISION",2B,Existing,skin burn 2 5 excision
153,SA858S,"SKIN, BURNS (LESS THAN 10%), DRESSING",MSP,Existing,skin burn le 10 dressing
154,SA859S,"SKIN, BURNS (LESS THAN 2%), EXCISION",1B,Existing,skin burn le 2 excision
155,SA860S,"SKIN, BURNS (MORE THAN 10%), DRESSING",1B,Existing,skin burn 10 dressing
156,SA861S,"SKIN, BURNS (MORE THAN 10%), EXCISION",3B,Existing,skin burn 10 excision
157,SA862S,"SKIN, BURNS (MORE THAN 5% TO 10%) EXCISION",2C,Existing,skin burn 5 10 excision
158,SA863S,"SKIN, KERATOSES/WARTS/TAGS/SIMILAR LESIONS, EXCISION (6 - 10 LESIONS)",2B,Existing,skin keratoseswartstagssimilar lesion excision 6 10 lesion
159,SA864S,"SKIN, KERATOSES/WARTS/TAGS/SIMILAR LESIONS, EXCISION (MORE THAN10 LESIONS)",2C,Existing,skin keratoseswartstagssimilar lesion excision than10 lesion
160,SA865S,"SKIN, KERATOSES/WARTS/TAGS/SIMILAR LESIONS, EXCISION (NOT MORE THAN 5 LESIONS)3",1A,Descriptor change,skin keratoseswartstagssimilar lesion excision 5 lesions3
161,SA866S,"SKIN, PLANTAR WART, EXCISION OR VAPORISATION BY LASER",1A,Existing,skin plantar wart excision vaporisation laser
162,SA867S,"SKIN, PLANTAR WARTS (MULTIPLE), EXCISION",1B,Existing,skin plantar wart multiple excision
163,SA868S,"SKIN, SCAR (EXTENSIVE), REVISION",3B,Existing,skin scar extensive revision
164,SA869S,"SKIN, SCAR/VARIOUS LESION (SINGLE/UNILATERAL), REMOVAL OF TISSUE EXPANDER/PROSTHESIS (INCLUDING BREAST IMPLANTS WITH OR WITHOUT CAPSULOTOMY) AND REVISION OF SCAR",3A,Descriptor change,skin scarvarious lesion singleunilateral removal tissue expanderprosthesis including breast implant without capsulotomy revision scar
165,SA870S,"SKIN, SCAR, REVISION WITH Z-PLASTY",2C,Existing,skin scar revision zplasty
166,SA871S,"SKIN, SCARS/LESIONS (MULTIPLE/BILATERAL), REMOVAL OF TISSUE EXPANDER/PROSTHESIS (INCLUDING BREAST IMPLANTS) AND REVISION/ EXCISION OF SCARS, UNILATERAL CAPSULECTOMY (AT LEAST 50%)4",3C,Descriptor change,skin scarslesions multiplebilateral removal tissue expanderprosthesis including breast implant revision excision scar unilateral capsulectomy least 504
167,SA872S,"SKIN, SUPERFICIAL NASAL DERMOID, EXCISION",3A,Existing,skin superficial nasal dermoid excision
168,SA873S,"SKIN, BURNS SCAR/TATTOO (1% TO 2%), LASER EXCISION",2B,"Descriptor
change",skin burn scartattoo 1 2 laser excision
169,SA874S,"SKIN, BURNS SCAR/TATTOO (LESS THAN 1%), LASER EXCISION",1C,Descriptor change,skin burn scartattoo le 1 laser excision
170,SA875S,"SKIN, BURNS SCAR/TATTOO (MULTIPLE/MORE THAN 2%), LASER EXCISION",3A,Descriptor change,skin burn scartattoo multiplemore 2 laser excision
171,SA876S,"SKIN, BURNS SCAR/TATTOO, REPEAT LASER EXCISION",1A,Descriptor change,skin burn scartattoo repeat laser excision
172,SA877S,"SKIN, VARIOUS LESIONS OF FACE (2 TO 3), EXCISION BIOPSY",1B,Existing,skin various lesion face 2 3 excision biopsy
173,SA878S,"SKIN, VARIOUS LESIONS, ABRASIVE THERAPY (EXTENSIVE)",3A,Existing,skin various lesion abrasive therapy extensive
174,SA879S,"SKIN, VARIOUS LESIONS, ABRASIVE THERAPY (LIMITED)",2A,Existing,skin various lesion abrasive therapy limited
175,SA880S,"SKIN, VARIOUS LESIONS, INSERTION OF TISSUE EXPANDER (MULTIPLE)",3A,Existing,skin various lesion insertion tissue expander multiple
176,SA881S,"SKIN, VARIOUS LESIONS, INSERTION OF TISSUE EXPANDER (SINGLE)",2B,Existing,skin various lesion insertion tissue expander single
177,SA882S,"SKIN, VARIOUS LESIONS, TRIAL DERMABRASION",1A,Existing,skin various lesion trial dermabrasion
178,SA883S,"SKIN, VARIOUS LESIONS, WOUND INSPECTION/DRESSING/REMOVAL OF SUTURES",MSP,Existing,skin various lesion wound inspectiondressingremoval suture
179,SA884S,"SKIN, VARIOUS LESIONS OF FACE (SINGLE), EXCISION/PUNCH/ SHAVE BIOPSY",1A,Existing,skin various lesion face single excisionpunch shave biopsy
180,SA885S,"SKIN, VARIOUS LESIONS OF FACE (4 AND ABOVE), EXCISION BIOPSY",2B,Existing,skin various lesion face 4 excision biopsy
181,SA886S,"SKIN, WRINKLES, PARTIAL RHYTIDECTOMY5",5C,Descriptor change,skin wrinkle partial rhytidectomy5
182,SA887S,"SKIN, WRINKLES, TOTAL RHYTIDECTOMY5",6B,"Descriptor
change",skin wrinkle total rhytidectomy5
183,SA888S,"SOFT TISSUE, TUMOR (MALIGNANT), WIDE EXCISION BIOPSY <7CM OTHER THAN UPPER/LOWER LIMBS",3C,Existing,soft tissue tumor malignant wide excision biopsy 7cm upperlower limb
184,SA889S,"SOFT TISSUE, TUMOR (MALIGNANT), RADICAL EXCISION BIOPSY >7CM OTHER THAN UPPER/LOWER LIMBS",5C,Existing,soft tissue tumor malignant radical excision biopsy 7cm upperlower limb
185,SA890S,"SUBCUTANEOUS TISSUE (ABDOMEN), OBESITY, LIPOSUCTION",3B,Existing,subcutaneous tissue abdomen obesity liposuction
186,SA891S,"SUBCUTANEOUS TISSUE (BUTTOCKS), OBESITY, LIPOSUCTION",3B,Existing,subcutaneous tissue buttock obesity liposuction
187,SA892S,"SUBCUTANEOUS TISSUE (FACE), OBESITY, LIPOSUCTION",2C,Existing,subcutaneous tissue face obesity liposuction
188,SA893S,"SUBCUTANEOUS TISSUE (THIGH), OBESITY, LIPOSUCTION",3C,Existing,subcutaneous tissue thigh obesity liposuction
189,SA894S,"SUBCUTANEOUS TISSUE (UPPER LIMBS), OBESITY, LIPOSUCTION",3A,Existing,subcutaneous tissue upper limb obesity liposuction
190,SA895S,"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY, TRANSVERSE WEDGE EXCISION OF ABDOMINAL APRON/LIPECTOMY WITH EXCISION OF SKIN, FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",4A,Existing,subcutaneous tissue obesity lipectomy transverse wedge excision abdominal apronlipectomy excision skin following weight loss surgery sf702ssf703ssf713ssf803ssf804s
191,SA896S,"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY, EXCISION WITH UNDERMINING OF SKIN EDGES AND STRENGTHENING OF ABDOMINAL WALL/RADICAL ABDOMINOPLASTY WITH REPAIR OF ABDOMINAL WALL AND TRANSPOSITION OF UMBILICUS FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",5C,Existing,subcutaneous tissue obesity lipectomy excision undermining skin edge strengthening abdominal wallradical abdominoplasty repair abdominal wall transposition umbilicus following weight loss surgery sf702ssf703ssf713ssf803ssf804s
192,SA898S,"SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (UNILATERAL)",2C,Existing,sweat gland axillary hyperhidrosis wedge excision unilateral
193,SA899S,"SKIN, INTRALESIONAL STEROID INJECTION",MSP,Existing,skin intralesional steroid injection
194,SA900S,"SUBCUTANEOUS TISSUE, OBESITY, EXCISION/LIPECTOMY, LIMBS (UNILATERAL/BILATERAL) FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",4A,Existing,subcutaneous tissue obesity excisionlipectomy limb unilateralbilateral following weight loss surgery sf702ssf703ssf713ssf803ssf804s
195,SA901S,"SUBCUTANEOUS TISSUE, OBESITY, EXCISION/LIPECTOMY, THORAX/BACK/BUTTOCKS, FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",4B,Existing,subcutaneous tissue obesity excisionlipectomy thoraxbackbuttocks following weight loss surgery sf702ssf703ssf713ssf803ssf804s
196,SA903S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, LESS THAN 10 LESIONS, NOT REQUIRING GENERAL ANAESTHESIA",MSP,New,skin premalignant lesion excisionvaporisation laser ablative modality therapeutic le 10 lesion requiring general anaesthesia
197,SA904S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, 10 OR MORE LESIONS, NOT REQUIRING GENERAL ANAESTHESIA",1A,New,skin premalignant lesion excisionvaporisation laser ablative modality therapeutic 10 lesion requiring general anaesthesia
198,SA905S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, SINGLE/MULTIPLE, WHERE UNDERTAKEN IN THE OPERATING THEATRE REQUIRING GENERAL ANAESTHESIA",1B,New,skin premalignant lesion excisionvaporisation laser ablative modality therapeutic singlemultiple undertaken operating theatre requiring general anaesthesia
199,SA700T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/LARGE BURSA, (>3CM) EXCISION BIOPSY",2B,Existing,tendon sheath subcutaneous tissue ganglionlarge bursa 3cm excision biopsy
200,SA800T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/SMALL BURSA, (<3CM) EXCISION BIOPSY",1C,Existing,tendon sheath subcutaneous tissue ganglionsmall bursa 3cm excision biopsy
1,SB700A,"ANKLE, ANKLE FRACTURE, BIMALLEOLAR, ORIF",4A,Existing,ankle ankle fracture bimalleolar orif
2,SB701A,"ANKLE, COMMINUTED PLAFOND FRACTURE ORIF",5A,Existing,ankle comminuted plafond fracture orif
3,SB702A,"ANKLE, LIGAMENTOUS INSTABILITY, RECONSTRUCTION OF LIGAMENTS",5A,"Descriptor
change",ankle ligamentous instability reconstruction ligament
4,SB703A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor Change,ankle various lesion primary total joint replacement augmentation requiring extra implant bone graft
5,SB704A,"ANKLE, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,ankle various lesion revision total joint replacement
6,SB705A,"ANKLE, THERAPEUTIC ARTHROSCOPY",4A,Existing,ankle therapeutic arthroscopy
7,SB746A,"ASPIRATION, DEEP MUSCULOSKELETAL TISSUES, UNDER RADIOLOGICAL GUIDANCE",1A,Existing,aspiration deep musculoskeletal tissue radiological guidance
8,SB800A,"ANKLE, DISLOCATION, OPEN REDUCTION",3B,Existing,ankle dislocation open reduction
9,SB801A,"ANKLE, ANKLE FRACTURE, UNIMALLEOLAR, ORIF",3B,Existing,ankle ankle fracture unimalleolar orif
10,SB802A,"ANKLE, VARIOUS LESIONS, ARTHRODESIS (SURGICAL FUSION)",5A,Existing,ankle various lesion arthrodesis surgical fusion
11,SB803A,"ANKLE, VARIOUS LESIONS, OPEN EXCISION/INTERPOSITION ARTHROPLASTY, WITH OR WITHOUT RESURFACING",4C,Existing,ankle various lesion open excisioninterposition arthroplasty without resurfacing
12,SB804A,"ANKLE, VARIOUS LESIONS, REPAIR OF LIGAMENTS",3A,Existing,ankle various lesion repair ligament
13,SB805A,"ANKLE, VARIOUS LESIONS, SYNOVECTOMIES",3B,Existing,ankle various lesion synovectomies
14,SB806A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change,ankle various lesion primary total joint replacement
15,SB700B,"BONE (LOWER LIMB), TUMOR (BENIGN), >3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",5A,Existing,bone lower limb tumor benign 3 cm bone grafting reconstructioninternal fixation
16,SB701B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION >6CM WITH RECONSTRUCTION AND BONE GRAFT",6A,Existing,bone lower limb tumor malignant radical excision 6cm reconstruction bone graft
17,SB702B,"BONE (SKULL), TUMOR (LARGE>3CM), EXCISION AND EXTENSIVE RECONSTRUCTION (DURA, SKULL, SKIN)",7B,Existing,bone skull tumor large3cm excision extensive reconstruction dura skull skin
18,SB703B,"BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (MORE THAN1/ BILATERAL)",3A,Existing,bone upperlower limb exostosis excision biopsy than1 bilateral
19,SB704B,"BONE (UPPER LIMB), TUMOR (BENIGN), MAJOR EXCISION >3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",5A,Existing,bone upper limb tumor benign major excision 3 cm bone grafting reconstructioninternal fixation
20,SB705B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE, > 1 LESION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",4A,Existing,bone tumour imaging guided percutaneous local ablation simple 1 lesion radiofrequency cryotherapy microwave laser alcohol etc
21,SB706B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL,ETC) , SINGLE LESION",3C,Existing,bone tumour imaging guided percutaneous local ablation radiofrequency cryotherapy microwave laser alcoholetc single lesion
22,SB707B,"BONE, TUMOR (MALIGNANT), AROUND JOINTS WITH LIMB RECONSTRUCTION AND JOINT REPLACEMENT",7A,Existing,bone tumor malignant around joint limb reconstruction joint replacement
23,SB708B,"BONE, TUMOUR (MALIGNANT), WIDE/MAJOR RESECTION AND RECONSTRUCTION (VASCULARISED BONE GRAFT)",7B,Existing,bone tumour malignant widemajor resection reconstruction vascularised bone graft
24,SB709B,"BONE, VARIOUS LESIONS, OPEN BIOPSY, CEMENTING/PLATE FIXATION",1B,Existing,bone various lesion open biopsy cementingplate fixation
25,SB710B,"BONE/SOFT TISSUE, VARIOUS LESIONS, TRUCUT BIOPSY",1B,Existing,bonesoft tissue various lesion trucut biopsy
26,SB711B,"BONE/ SOFT TISSUE, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2B,Existing,bone soft tissue various lesion imaging guided percutaneous biopsy
27,SB712B,"BURSA, BURSITIS, EXCISION BIOPSY (MORE THAN 1/BILATERAL)",2C,Existing,bursa bursitis excision biopsy 1bilateral
28,SB713B,"BONE, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, COMPLEX, > 1 LESION (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",4B,Existing,bone tumour imaging guided percutaneous local ablation complex 1 lesion radiofrequency cryotherapy microwave laser alcohol etc
29,SB800B,"BONE, CYST/TUMOUR BENIGN/BENIGN AGGRESSIVE, CURRETTAGE/BURRING/BONE GRAFTING/CEMENTING",4A,Existing,bone cysttumour benignbenign aggressive currettageburringbone graftingcementing
30,SB801B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH INTERNAL FIXATION WITH OR WITHOUT FLUOROSCOPY",5C,Existing,bone lower limb deformity corrective surgery internal fixation without fluoroscopy
31,SB802B,"BONE (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE",4A,Existing,bone lower limb deformity corrective surgery osteotomy alone
32,SB803B,"BONE (LOWER LIMB), DEFECT/NON UNION, IMPLANTATION OF BONE STIMULATOR",3B,Existing,bone lower limb defectnon union implantation bone stimulator
33,SB804B,"BONE (LOWER LIMB), FRACTURE/DISLOCATION, MANIPULATION AND KIRSCHNER WIRE FIXATION",3B,Existing,bone lower limb fracturedislocation manipulation kirschner wire fixation
34,SB805B,"BONE (LOWER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION WOUND DEBRIDEMENT",2B,Existing,bone lower limb grade 1 2 open fracturesopen dislocation open fracture dislocation wound debridement
35,SB806B,"BONE (LOWER LIMB), OSTEOMYELITIS, DRAINAGE WITH CURETTAGE AND IRRIGATION",4A,Existing,bone lower limb osteomyelitis drainage curettage irrigation
36,SB807B,"BONE (LOWER LIMB), OSTEOMYELITIS, SIMPLE DRAINAGE",2B,Existing,bone lower limb osteomyelitis simple drainage
37,SB808B,"BONE AND JOINTS (LOWER LIMB), PLATES AND SCREWS/NAILS, REMOVAL",2B,Existing,bone joint lower limb plate screwsnails removal
38,SB809B,"BONE AND JOINTS (LOWER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)",1C,Existing,bone joint lower limb removal simple implant eg rush rodswiresk wirespinsscrews
39,SB810B,"BONE (LOWER LIMB), TUMOR (BENIGN), <3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",4A,Existing,bone lower limb tumor benign 3 cm bone grafting reconstructioninternal fixation
40,SB811B,"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION (<6CM) WITH RECONSTRUCTION AND BONE GRAFTING",5C,Existing,bone lower limb tumor malignant radical excision 6cm reconstruction bone grafting
41,SB812B,"BONE (LOWER LIMB), VARIOUS LESIONS, EPIPHYSIOLYSIS WITH/WITHOUT MICROSURGERY",5C,Existing,bone lower limb various lesion epiphysiolysis withwithout microsurgery
42,SB813B,"BONE (SKULL), TUMOR (SMALL<3CM) EXCISION WITH CRANIOPLASTY",5B,Existing,bone skull tumor small3cm excision cranioplasty
43,SB814B,"BONE (SKULL), TUMOR (LARGE>3CM) EXCISION WITH CRANIOPLASTY",6B,Existing,bone skull tumor large3cm excision cranioplasty
44,SB815B,"BONE (SKULL), TUMOR (MALIGNANT), WIDE EXCISION",5C,Existing,bone skull tumor malignant wide excision
45,SB817B,"BONE (UPPER/LOWER LIMB), BONE LOSS/NONUNION, BONE GRAFTING",3C,Existing,bone upperlower limb bone lossnonunion bone grafting
46,SB818B,"BONE (UPPER LIMB), DEFORMITIES, CORRECTIVE SURGERY",4B,Existing,bone upper limb deformity corrective surgery
47,SB819B,"BONE AND JOINTS (UPPER LIMB), DEFORMITIES, OSTEOTOMIES AND FIXATION WITH OR WITHOUT FLUOROSCOPY/BONE GRAFT",5C,Existing,bone joint upper limb deformity osteotomy fixation without fluoroscopybone graft
48,SB820B,"BONE (UPPER/LOWER LIMB), EXOSTOSIS, EXCISION BIOPSY (SINGLE)",2C,Existing,bone upperlower limb exostosis excision biopsy single
49,SB821B,"BONE (UPPER LIMB), FRACTURE/DISLOCATION/SPRAIN, FULL CAST",MSP,Existing,bone upper limb fracturedislocationsprain full cast
50,SB822B,"BONE (UPPER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION, WOUND DEBRIDEMENT",2B,Existing,bone upper limb grade 1 2 open fracturesopen dislocation open fracture dislocation wound debridement
51,SB823B,"BONE (UPPER LIMB), OSTEOMYELITIS, EXTENSIVE CURETTAGE/DEBRIDEMENT AND IRRIGATION",4A,Existing,bone upper limb osteomyelitis extensive curettagedebridement irrigation
52,SB824B,"BONE (UPPER LIMB), OSTEOMYELITIS SIMPLE DRAINAGE",2B,Existing,bone upper limb osteomyelitis simple drainage
53,SB825B,"BONE AND JOINTS (UPPER LIMB), PLATES AND SCREWS, REMOVAL",2B,Existing,bone joint upper limb plate screw removal
54,SB826B,"BONE AND JOINTS (UPPER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)",1C,Existing,bone joint upper limb removal simple implant eg rush rodswiresk wirespinsscrews
