S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
72,SA708S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (<20 SQ CM)",3C,Existing,skin surgical treatment vitiligo involving noncultured cellular grafting 20 sq cm,-0.7251985,10.965041
64,SA705R,"RADIOTHERAPY, INTRA-OPERATIVE RADIOTHERAPY (ELECTRONS OR KILOVOLTAGE): BREAST, SARCOMA, UPPER GI, LOWER GI, OTHER SITES",3A,Existing,radiotherapy intraoperative radiotherapy electron kilovoltage breast sarcoma upper gi lower gi site,-0.70305514,10.797745
43,SC717T,"THORAX, TUMOR (MEDIASTINAL), COMPLEX RESECTION",6A,Existing,thorax tumor mediastinal complex resection,1.5299555,9.3493395
443,SB740S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (SINGLE LEVEL)",4A,Existing,spine vertebroplasty kyphoplasty single level,-1.7164191,5.6133466
83,SK715N,"NERVE (LOWER LIMB), ENTRAPMENT SYNDROME, DECOMPRESSION",3C,Existing,nerve lower limb entrapment syndrome decompression,5.103048,8.646222
19,SG718B,"BLADDER/URETHRA, CYSTOSCOPY, WITH URETHRAL DILATATION",1C,Existing,bladderurethra cystoscopy urethral dilatation,-1.1729625,9.090338
144,SF805E,"ESOPHAGUS, TUMOR, BYPASS WITH STOMACH/INTESTINE",5C,Descriptor change,esophagus tumor bypass stomachintestine,-0.19257917,8.044417
301,SB716K,"KNEE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT (UNILATERAL) WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change,knee various lesion primary total joint replacement unilateral augmentation requiring extra implant bone graft,4.018221,6.579669
109,SK745N,"NERVE-DIGITAL, INJURY, MICROSURGICAL REPAIR (SINGLE)",2C,Existing,nervedigital injury microsurgical repair single,4.557924,8.142272
134,SI702V,"VAGINA, CYSTOCOELE, TRANSOBTURATOR MESH",3B,Existing,vagina cystocoele transobturator mesh,-3.2431395,10.36452
4,SM702E,"EAR (MIDDLE), VARIOUS LESIONS (BENIGN CONDITION), EXCISION BIOPSY",2A,Existing,ear middle various lesion benign condition excision biopsy,-0.75514734,12.284496
516,SB830T,"TOES, VARIOUS LESIONS, TOE AMPUTATION (SINGLE)",1C,Existing,toe various lesion toe amputation single,3.2574008,8.986511
6,SB705A,"ANKLE, THERAPEUTIC ARTHROSCOPY",4A,Existing,ankle therapeutic arthroscopy,2.9323733,7.306541
35,SD734A,"ARTERY-PSEUDOANEURYSM, THROMBIN INJECTION",2A,Existing,arterypseudoaneurysm thrombin injection,-1.0211115,10.323975
451,SB750S,"SPINE, INFECTION, ANTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",4A,Existing,spine infection anterior drainage debridement without fusion procedure,-2.3450673,5.69153
358,SB816M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, INSERTION OF ENDOSSEOUS DENTAL IMPLANT (SINGLE)(FOR MULTIPLE PLACEMENT OF IMPLANTS, NUMBER OF CLAIMS = NUMBER OF IMPLANTS PLACED )",2C,Existing,mandible maxilla various lesion insertion endosseous dental implant singlefor multiple placement implant number claim number implant placed,0.16254595,10.303312
178,SB721H,"HIP, OPEN REDUCTION WITH ACETABULAR OR FEMORAL OSTEOTOMIES",5B,Existing,hip open reduction acetabular femoral osteotomy,3.0813627,9.00588
336,SB708M,"MANDIBLE, ATROPHY, LATERALISATION OF INFERIOR DENTAL NERVE WITH IMPLANT FIXTURES PLACEMENT, BILATERAL.",5A,Existing,mandible atrophy lateralisation inferior dental nerve implant fixture placement bilateral,0.057416692,10.256836
36,SE820L,"LYMPHATICS, LYMPHEDEMA, EXCISION (SMALL)",2A,Existing,lymphatics lymphedema excision small,0.756855,10.771247
7,SL704B,"BROW, DIRECT BROWPLASTY, UNILATERAL",3A,Existing,brow direct browplasty unilateral,-0.8588829,11.26117
199,SA700T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/LARGE BURSA, (>3CM) EXCISION BIOPSY",2B,Existing,tendon sheath subcutaneous tissue ganglionlarge bursa 3cm excision biopsy,4.3603144,9.322912
362,SB820M,"MANDIBLE, VARIOUS LESIONS, RECONSTRUCTION WITH BONE",5C,Existing,mandible various lesion reconstruction bone,1.92466,9.764584
9,SI800C,"CERVIX, TEAR, SIMPLE REPAIR WITHOUT ANESTHESIA",MSP,Existing,cervix tear simple repair without anesthesia,-2.965211,9.923538
391,SB849M,"MUSCLE (UPPER LIMB), RUPTURE, REPAIR",2C,Existing,muscle upper limb rupture repair,3.699529,9.584065
320,SB807L,"UPPER LIMB/LOWER LIMB, OPEN FRACTURES WITH DEBRIDEMENT AND EXTERNAL FIXATION (RING / MULTIPLANAR / UNIPLANAR)",4B,Descriptor change,upper limblower limb open fracture debridement external fixation ring multiplanar uniplanar,3.0725255,9.62939
109,SB718F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), POST MEDIAL RELEASE",4C,Existing,foot congenital talipes equinovarus ctev post medial release,1.7289052,11.438278
63,SK703F,"FACIAL, TRIGEMINAL NERVE BLOCK, ANAESTHETIC",1B,Existing,facial trigeminal nerve block anaesthetic,2.7928407,4.177617
52,SH803S,"SPERMATIC CORD, SPERMATOCELE/EPIDIDYMAL CYST, EXCISION",2A,Existing,spermatic cord spermatoceleepididymal cyst excision,-1.9765835,10.197041
60,SA701R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITH/WITHOUT OPEN SURGERY)",4B,Existing,radiotherapy interstitial brachytherapy withwithout open surgery,-0.65191436,11.620761
30,SD729A,"ARTERY, VARIOUS LESIONS, FLUSH AORTOGRAM OR SINGLE VESSEL DIAGNOSTIC ANGIOGRAM",2C,Existing,artery various lesion flush aortogram single vessel diagnostic angiogram,0.21251777,9.697421
30,SK707B,"BRAIN, HYDROCEPHALUS, EXTERNAL VENTRICULAR DRAINAGE, BILATERAL",4A,Existing,brain hydrocephalus external ventricular drainage bilateral,-2.9380279,12.42092
8,SB800A,"ANKLE, DISLOCATION, OPEN REDUCTION",3B,Existing,ankle dislocation open reduction,2.91155,8.85717
160,SI809V,"VAGINA, LACERATIONS (SIMPLE), DEBRIDEMENT/SUTURE (EXCLUDES EPISIOTOMY)",1C,Existing,vagina laceration simple debridementsuture excludes episiotomy,-2.7614946,10.46801
184,SK805S,"SKULL, DEFECT, CRANIOPLASTY (SMALL)",5A,Existing,skull defect cranioplasty small,-1.4425801,10.667997
100,SF806B,"BILE DUCT, VARIOUS LESIONS, REVISION HIGH BILIARY STRICTURE/ RADICAL RESECTION",7C,Existing,bile duct various lesion revision high biliary stricture radical resection,-3.7629235,7.5830884
163,SA868S,"SKIN, SCAR (EXTENSIVE), REVISION",3B,Existing,skin scar extensive revision,1.0080221,11.947627
117,SL708L,"LENS, SECONDARY SCLERAL FIXATED INTRAOCULAR LENS IMPLANTATION",5A,Existing,lens secondary scleral fixated intraocular lens implantation,7.6209164,6.5439396
28,SF805A,"ABDOMINAL/RETROPERITONEAL TUMOUR, RECURRENT RESECTION WITH OR WITHOUT VASCULAR INVOLVEMENT AND VASCULAR REPAIR",6B,Existing,abdominalretroperitoneal tumour recurrent resection without vascular involvement vascular repair,1.0159299,8.775482
480,SB705T,"TIBIA, TIBIAL SHAFT FRACTURE, INTRAMEDULLARY NAILING (LOCKED/UNLOCKED)",4B,Existing,tibia tibial shaft fracture intramedullary nailing lockedunlocked,2.138275,10.096208
57,SB829B,"BONE (UPPER LIMB), TUMOUR (MALIGNANT), WIDE EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION",5A,Existing,bone upper limb tumour malignant wide excision reconstructioninternal fixation,3.1030579,11.0122595
307,SB804K,"KNEE, VARIOUS LESIONS, ARTHROTOMY",3B,Existing,knee various lesion arthrotomy,3.054031,7.751309
104,SI817U,"UTERUS, GENETIC ABNORMALITY, ULTRASOUND GUIDED CHORIONIC BIOPSY",1C,Existing,uterus genetic abnormality ultrasound guided chorionic biopsy,-2.793329,11.1032915
135,SK707S,"SACRAL ROOT BLOCK, NEUROLYTIC, RADIOFREQUENCY, IMAGING GUIDED, MORE THAN 2",4A,Existing,sacral root block neurolytic radiofrequency imaging guided 2,2.468665,4.1758003
13,SF714A,ANGIOEMBOLISATION FOR TRAUMA,4B,Existing,angioembolisation trauma,1.1718748,10.072717
105,SM722N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (SECONDARY REVISION)",5A,Existing,nose various lesion rhinoplasty secondary revision,-1.4451132,12.333499
21,SA807B,"BREAST, GYNECOMASTIA, REDUCTION (UNILATERAL)",3A,Existing,breast gynecomastia reduction unilateral,0.9141374,13.42519
8,SK707A,"ARTERY, INTRACRANIAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing,artery intracranial aneurysmarteriovenous malformation embolisation,0.22166796,9.537189
43,SD801A,"AORTA, DESCENDING AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT",7A,Existing,aorta descending aortic aneurysm excision insertion graft,1.7068508,7.432394
182,SB725H,"HIP/KNEE, REMOVAL OF PROSTHESES WITH OR WITHOUT SPACER",5A,Existing,hipknee removal prosthesis without spacer,-1.3365419,10.633089
339,SB711M,"MANDIBLE, VARIOUS LESIONS, BODY OR RAMUS OSTEOTOMY WITH INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",5C,Existing,mandible various lesion body ramus osteotomy insertion distraction osteogenesis device,2.3769164,6.8003674
130,SF802D,"DUODENUM, TRAUMA, BYPASS OPERATION",5A,Existing,duodenum trauma bypass operation,0.36079907,9.972679
82,SI719U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + VAGINAL SACROSPINOUS LIGAMENT HYSTEROPEXY + ANTEIOR REPAIR + POSTERIOR REPAIR",4B,Existing,uterus prolapse cystocoele rectocoele amputation cervix vaginal sacrospinous ligament hysteropexy anteior repair posterior repair,-3.5798595,10.635127
84,SA720S,"SOFT TISSUE (PALMAR SPACE), ABSCESS, DRAINAGE",2B,Existing,soft tissue palmar space abscess drainage,0.66726726,14.235023
29,SE813L,"LYMPHATICS, CYSTIC HYGROMA, EXCISION (EXTENSIVE) WITH/WITHOUT THORACOTOMY",5C,Existing,lymphatics cystic hygroma excision extensive withwithout thoracotomy,0.6633097,10.600551
8,SF709A,"ABDOMINAL CAVITY, RECURRENT ABDOMINAL TUMOR, RESECTION WITH COMPLETE ABDOMINOPELVIC PERITONECTOMY AND HYPERTHERMIC INTRAOPERATIVE CHEMOTHERAPY",7A,Existing,abdominal cavity recurrent abdominal tumor resection complete abdominopelvic peritonectomy hyperthermic intraoperative chemotherapy,-3.0175405,6.8739185
221,SF710M,"MOUTH, PERIODONTIUM, BONE DEFECT/DEFORMITY, AUGMENTATION (NON-AUTOGENOUS) /REGENERATION",2A,Existing,mouth periodontium bone defectdeformity augmentation nonautogenous regeneration,-5.66145,9.250928
71,SB805C,"CLAVICLE, CLAVICLE FRACTURE, SIMPLE",3B,Existing,clavicle clavicle fracture simple,1.2036465,11.046526
156,SI805V,"VAGINA, FISTULA, REPAIR (SIMPLE)",4A,Existing,vagina fistula repair simple,-2.9929934,10.42997
162,SD704V,"VEIN, CENTRAL VEINS (SUPERIOR VENA CAVA, BRACHIOCEPHALIC VEINS, INFERIOR VENA CAVA, ILIAC VEINS) VARIOUS LESIONS, DIAGNOSTIC VENOGRAPHY",2A,Existing,vein central vein superior vena cava brachiocephalic vein inferior vena cava iliac vein various lesion diagnostic venography,-0.15265492,9.782323
3,SF704A,"ABDOMEN, LAPAROTOMY, TRAUMA REOPERATION",5A,Existing,abdomen laparotomy trauma reoperation,1.0586962,9.6030655
76,SM704M,"MOUTH, VARIOUS LESIONS, UVULOTOMY",1B,Existing,mouth various lesion uvulotomy,0.21933901,10.624398
143,SF804E,"ESOPHAGUS, TUMOR, ALLISON/IVOR-LEWIS OPERATION",6B,Existing,esophagus tumor allisonivorlewis operation,-0.21191262,8.047118
87,SK719N,"NERVE (UPPER LIMB), DEFECT, GRAFT (SINGLE) USING MICROSURGICAL TECHNIQUES",4B,Existing,nerve upper limb defect graft single using microsurgical technique,4.5249257,7.9348397
230,SB841H,"HUMERUS, PROXIMAL /MID-SHAFT/SUPRACONDYLAR FRACTURE, PLATE FIXATION",4A,"Descriptor
change",humerus proximal midshaftsupracondylar fracture plate fixation,2.3325512,10.192614
104,SK740N,"PERIPHERAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 2 NERVES)",2B,Existing,peripheral nerve block neurolytic 2 nerve,3.0208156,4.1249523
160,SD702V,"VEIN, VARICOSITY, HIGH LIGATION AND COMPLETE STRIPPING/EXCISION OF LONG/LONG & SHORT SAPHENOUS VEIN (ENDOSCOPIC)",4A,Existing,vein varicosity high ligation complete strippingexcision longlong short saphenous vein endoscopic,0.7599924,8.061938
49,SL718E,"EYELIDS, VARIOUS LESIONS, UPPER BLEPHAROPLASTY, BILATERAL",3C,Existing,eyelid various lesion upper blepharoplasty bilateral,-1.4469483,11.3373575
259,SB805J,"JOINTS (FINGER, INTERPHALANGEAL JOINTS, METACARPOPHALANGEAL JOINTS), SYNOVITIS, SYNOVECTOMY",2C,Existing,joint finger interphalangeal joint metacarpophalangeal joint synovitis synovectomy,3.553722,7.306533
79,SA715S,"SOFT TISSUE (LOWER LIMB), TUMOR/TUMOR-LIKE LESIONS, MARGINAL EXCISION",2C,Existing,soft tissue lower limb tumortumorlike lesion marginal excision,3.372839,10.329866
41,SE801M,"MARROW, VARIOUS LESIONS, DIAGNOSTIC ASPIRATION",1A,Existing,marrow various lesion diagnostic aspiration,-0.8513341,9.524757
33,SA819B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING FREE FLAP (UNILATERAL)",7C,Existing,breast post mastectomy reconstruction using free flap unilateral,0.9234392,13.565125
134,SL700O,"OCULAR SURFACE PROCEDURE INCLUDING AMNIOTIC MEMBRANE TRANSPLANT (COMPLEX, CULTURED GRAFTS/EXTENSIVE RECONSTRUCTION)",5C,Existing,ocular surface procedure including amniotic membrane transplant complex cultured graftsextensive reconstruction,-0.77156395,10.195094
28,SI704F,"FALLOPIAN TUBE, STERILISATION",3A,"Uptable, Descriptor change",fallopian tube sterilisation,0.747115,15.190415
86,SL833E,"EYELIDS, PTOSIS, CORRECTION LEVATOR PALPEBRAE SUPERIORIS RESECTION (BILATERAL)",5B,Existing,eyelid ptosis correction levator palpebrae superioris resection bilateral,-2.2472308,11.990789
181,SB724H,"HIP, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,hip various lesion revision total joint replacement,3.7434857,6.935846
27,SB712B,"BURSA, BURSITIS, EXCISION BIOPSY (MORE THAN 1/BILATERAL)",2C,Existing,bursa bursitis excision biopsy 1bilateral,-0.2709378,11.307617
21,SE805L,"LYMPH NODE (INGUINAL), VARIOUS LESIONS, LIMITED EXCISION",3B,Existing,lymph node inguinal various lesion limited excision,2.7367604,14.3494215
183,SI832V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY WITH SKIN FLAP CLOSURE",5A,Descriptor change,vulva malignant condition radical vulvectomy skin flap closure,-2.4390066,9.778799
487,SB801T,"TENDON (UPPER LIMB), BOWSTRINGING/ENTRAPMENT, PULLEY RECONSTRUCTION",3B,Existing,tendon upper limb bowstringingentrapment pulley reconstruction,4.155224,9.321312
149,SK724S,"SPINAL CORD, STIMULATION/MODULATION",5C,Descriptor change,spinal cord stimulationmodulation,-2.175989,10.220324
106,SB715F,"FOOT, ACHILLES TENDON RECONSTRUCTION",4A,Existing,foot achilles tendon reconstruction,1.9871533,11.27874
10,SB802A,"ANKLE, VARIOUS LESIONS, ARTHRODESIS (SURGICAL FUSION)",5A,Existing,ankle various lesion arthrodesis surgical fusion,3.1070478,8.08852
64,SC813T,"THORAX, VARIOUS LESIONS, THORACOTOMY WITH PULMONARY DECORTICATION, WITH OR WITHOUT THORACOPLASTY AND/OR MYOPLASTY",5A,Existing,thorax various lesion thoracotomy pulmonary decortication without thoracoplasty andor myoplasty,1.1725888,9.454964
101,SG802U,"URETER, CUTANEOUS URETEROSTOMY, CLOSURE",2C,Existing,ureter cutaneous ureterostomy closure,-4.5711374,9.261439
129,SM711S,"SINUSES, NASAL, VARIOUS LESIONS OF ANTRUM, PROOF PUNCTURE WITH/WITHOUT LAVAGE",1B,Descriptor change,sinus nasal various lesion antrum proof puncture withwithout lavage,4.4603333,12.242966
32,SE816L,"LYMPHATICS, LYMPHEDEMA, EXCISION (EXTENSIVE AND COMPLEX)",7C,Existing,lymphatics lymphedema excision extensive complex,0.7565183,10.749893
534,SB806U,"UPPER LIMB, VARIOUS LESIONS, FOREQUARTER AMPUTATION",6B,Existing,upper limb various lesion forequarter amputation,3.554532,9.647333
41,SG820B,"BLADDER, VARIOUS LESIONS, REPAIR, COMPLICATED (E.G. DEFECT >3CM OR TRIGONE INVOLVEMENT, BLADDER RECONSTRUCTION)",4A,New,bladder various lesion repair complicated eg defect 3cm trigone involvement bladder reconstruction,-1.480132,8.11658
39,SK803B,"BRAIN, CAROTICO-CAVERNOUS FISTULA, EXTRACRANIAL AND INTRACRANIAL TRAPPING",7B,Existing,brain caroticocavernous fistula extracranial intracranial trapping,-2.6904895,12.683323
60,SD818A,"ARTERY, DEFECT, ARTERIAL PATCH GRAFT",4A,Existing,artery defect arterial patch graft,0.34634694,9.806102
110,SM800N,"NECK, ABSCESS (DEEP NECK SPACE/S), TRANSCERVICAL DRAINAGE (INCLUDES PARAPHARYNGEAL/RETROPHARYNGEAL SPACES)",3C,New,neck abscess deep neck space transcervical drainage includes parapharyngealretropharyngeal space,0.66400045,14.163773
284,SB835J,"JOINTS (WRIST), VARIOUS LESIONS, ARTHRODESIS",4B,Existing,joint wrist various lesion arthrodesis,3.449364,7.718223
213,SF702M,"MOUTH, INTRA ORAL TUMOUR RADICAL EXCISION WITH RESECTION OF MANDIBLE AND BILATERAL NECK DISSECTION",7A,Existing,mouth intra oral tumour radical excision resection mandible bilateral neck dissection,-0.04398649,12.779039
78,SB701E,"ELBOW, CONDYLE/RADIAL HEAD FRACTURE, RADIAL HEAD EXCISION/CONDYLE/ARTHROPLASTY",4B,Existing,elbow condyleradial head fracture radial head excisioncondylearthroplasty,2.1848927,8.709066
155,SK731S,"SPINE, THORACIC/LUMBAR, EPIDURAL ADHESIOLYSIS, MULTIPLE CATHETER",3C,Existing,spine thoraciclumbar epidural adhesiolysis multiple catheter,-2.1350362,5.9633546
22,SB707B,"BONE, TUMOR (MALIGNANT), AROUND JOINTS WITH LIMB RECONSTRUCTION AND JOINT REPLACEMENT",7A,Existing,bone tumor malignant around joint limb reconstruction joint replacement,3.6132069,7.198273
147,SD828H,"HEART, VARIOUS LESIONS, CARDIAC BIOPSY",2B,Existing,heart various lesion cardiac biopsy,0.47539335,6.752758
372,SB830M,"MAXILLA, FRACTURE - LEFORT I, CLOSED REDUCTION AND FIXATION",4A,Existing,maxilla fracture lefort closed reduction fixation,1.1827402,5.2109385
212,SB823H,"HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION",5C,Existing,headface trauma craniofacial approach reduction fixation,0.34989333,10.865316
29,SI705F,"FALLOPIAN TUBE, TUBAL PATHOLOGY, SALPINGECTOMY, MIS",3C,Existing,fallopian tube tubal pathology salpingectomy mi,0.7670762,15.241925
10,SD709A,"ARTERIOVENOUS FISTULA, SYNTHETIC GRAFT",5A,Existing,arteriovenous fistula synthetic graft,1.5201293,6.3746767
386,SB844M,"MUSCLE (LOWER LIMB), RUPTURE, REPAIR",2C,Existing,muscle lower limb rupture repair,3.6608372,9.611731
35,SE819L,"LYMPHATICS, LYMPHEDEMA, EXCISION (MODERATE)",3A,Existing,lymphatics lymphedema excision moderate,0.7846113,10.771514
75,SL820E,"EYELIDS, CHALAZION CYST/STYE, EXCISION",MSP,Existing,eyelid chalazion cyststye excision,-1.2809371,11.207298
143,SM701T,"THROAT, UVULOPALATOPHARYNGOPLASTY (U3P), WITH/WITHOUT TONSILLECTOMY",4B,Descriptor change,throat uvulopalatopharyngoplasty u3p withwithout tonsillectomy,-0.77691036,10.766953
305,SF703S,"STOMACH, OBESITY, SLEEVE GASTRECTOMY",5B,"Descriptor
change",stomach obesity sleeve gastrectomy,-0.65903956,8.339624
475,SB700T,"TENDON (UPPER LIMB/ LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (MULTIPLE)",5C,Descriptor change,tendon upper limb lower limb various lesion tendon transfer multiple,4.240921,9.238933
1,SF701A,"ABDOMEN/PELVIS, CATHETER BLOCKAGE, IMAGING GUIDED CATHETER CHANGE/CATHETER ADJUSTMENT/CHECK TUBE",1A,Existing,abdomenpelvis catheter blockage imaging guided catheter changecatheter adjustmentcheck tube,-0.7716003,9.9768
248,SB714J,"JOINTS (UPPER LIMB, SHOULDER), SEPTIC ARTHRITIS/EFFUSION, CURETTAGE/DEBRIDEMENT AND IRRIGATION",4A,Existing,joint upper limb shoulder septic arthritiseffusion curettagedebridement irrigation,4.0704355,10.264813
5,SD704A,ARRHYTHMIA SURGERY MAZE (INCLUDES THE MINI- MAZE PROCEDURE WITH RADIOFREQUENCY CLAM),6B,Existing,arrhythmia surgery maze includes mini maze procedure radiofrequency clam,0.8714477,6.7735577
135,SD816H,"HEART, LEFT VENTRICULAR ANEURYSM, RESECTION WITHOUT CORONARY ARTERY BYPASS",6C,Existing,heart left ventricular aneurysm resection without coronary artery bypass,0.8041343,7.308331
54,SK818B,"BRAIN, VARIOUS LESIONS, INSERTION OF OMMAYA RESERVOIR",4A,Existing,brain various lesion insertion ommaya reservoir,-2.75212,12.3105955
125,SL807L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (BILATERAL)",5A,Existing,lens cataract extraction intraocular lens implant bilateral,7.596517,6.536439
3,SG702B,"BLADDER, DIVERTICULUM, MIS EXCISION",4A,Existing,bladder diverticulum mi excision,-1.1960207,8.288828
299,SF807R,"RECTUM, VARIOUS LESIONS, ABDOMINO-PERINEAL PULL THROUGH RESECTION WITH COLO-ANAL ANASTOMOSIS",6B,Existing,rectum various lesion abdominoperineal pull resection coloanal anastomosis,-0.8264806,7.7671227
193,SF711L,"LIVER, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (FOCAL LESIONS, TARGETED)",2A,Existing,liver various lesion imaging guided percutaneous biopsy focal lesion targeted,-1.3332644,9.834747
46,SA834B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH SENTINEL NODE BIOPSY/AXILIARY NODE SAMPLING",5A,Existing,breast tumor malignant nippleskin sparing mastectomy sentinel node biopsyaxiliary node sampling,3.1952279,13.590532
34,SL703E,"EYE, GLAUCOMA, GONIOTOMY/TRABECULOTOMY (UNILATERAL) - PAEDIATRIC",4A,Existing,eye glaucoma goniotomytrabeculotomy unilateral paediatric,7.2467775,8.031577
27,SC701T,"THORAX, COASTAL CARTILAGE, HARVEST AND CREATION OF EAR CARTILAGE FRAMEWORK",5A,Existing,thorax coastal cartilage harvest creation ear cartilage framework,1.9549887,8.855464
95,SB733F,"FEMUR, LENGTH DISCREPANCIES, GRADUAL LENGTHENING PROCEDURES WITH OSTEOTOMY AND INTRAMEDULLARY NAIL",5C,New,femur length discrepancy gradual lengthening procedure osteotomy intramedullary nail,2.0442178,10.19518
