S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y,Cluster
107,SM724N,"NOSE, VARIOUS LESIONS, SEPTOPLASTY/SUBMUCOUS RESECTION",3B,Existing,nose various lesion septoplastysubmucous resection,14.301311,0.32014588,0
293,SF801R,"RECTUM, HIRSCHSPRUNG'S DISEASE, ANAL SPHINCTEROTOMY",2C,Existing,rectum hirschsprung disease anal sphincterotomy,-52.55277,-9.916195,0
89,SD702H,"HEART, AUTOMATIC IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (AICD)/PACEMAKER LEAD EXTRACTION",4A,Existing,heart automatic implantable cardioverter defibrillator aicdpacemaker lead extraction,3.070267,-10.051933,0
72,SA708S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (<20 SQ CM)",3C,Existing,skin surgical treatment vitiligo involving noncultured cellular grafting 20 sq cm,-61.34603,-46.03524,0
64,SA705R,"RADIOTHERAPY, INTRA-OPERATIVE RADIOTHERAPY (ELECTRONS OR KILOVOLTAGE): BREAST, SARCOMA, UPPER GI, LOWER GI, OTHER SITES",3A,Existing,radiotherapy intraoperative radiotherapy electron kilovoltage breast sarcoma upper gi lower gi site,-35.614006,-35.323193,0
43,SC717T,"THORAX, TUMOR (MEDIASTINAL), COMPLEX RESECTION",6A,Existing,thorax tumor mediastinal complex resection,-7.0798492,19.182884,0
443,SB740S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (SINGLE LEVEL)",4A,Existing,spine vertebroplasty kyphoplasty single level,39.61858,42.445396,0
83,SK715N,"NERVE (LOWER LIMB), ENTRAPMENT SYNDROME, DECOMPRESSION",3C,Existing,nerve lower limb entrapment syndrome decompression,21.327188,16.886887,0
19,SG718B,"BLADDER/URETHRA, CYSTOSCOPY, WITH URETHRAL DILATATION",1C,Existing,bladderurethra cystoscopy urethral dilatation,17.67135,48.1387,0
144,SF805E,"ESOPHAGUS, TUMOR, BYPASS WITH STOMACH/INTESTINE",5C,Descriptor change,esophagus tumor bypass stomachintestine,-20.777039,46.076427,0
301,SB716K,"KNEE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT (UNILATERAL) WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change,knee various lesion primary total joint replacement unilateral augmentation requiring extra implant bone graft,53.143055,-50.49639,-1
109,SK745N,"NERVE-DIGITAL, INJURY, MICROSURGICAL REPAIR (SINGLE)",2C,Existing,nervedigital injury microsurgical repair single,-33.469532,20.520994,0
134,SI702V,"VAGINA, CYSTOCOELE, TRANSOBTURATOR MESH",3B,Existing,vagina cystocoele transobturator mesh,-7.966068,-19.265081,0
4,SM702E,"EAR (MIDDLE), VARIOUS LESIONS (BENIGN CONDITION), EXCISION BIOPSY",2A,Existing,ear middle various lesion benign condition excision biopsy,-19.723423,-13.766369,0
516,SB830T,"TOES, VARIOUS LESIONS, TOE AMPUTATION (SINGLE)",1C,Existing,toe various lesion toe amputation single,16.78174,-12.8032875,0
6,SB705A,"ANKLE, THERAPEUTIC ARTHROSCOPY",4A,Existing,ankle therapeutic arthroscopy,23.908937,10.377422,0
35,SD734A,"ARTERY-PSEUDOANEURYSM, THROMBIN INJECTION",2A,Existing,arterypseudoaneurysm thrombin injection,-15.4922695,-4.8157344,0
451,SB750S,"SPINE, INFECTION, ANTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",4A,Existing,spine infection anterior drainage debridement without fusion procedure,48.702797,1.4157227,0
358,SB816M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, INSERTION OF ENDOSSEOUS DENTAL IMPLANT (SINGLE)(FOR MULTIPLE PLACEMENT OF IMPLANTS, NUMBER OF CLAIMS = NUMBER OF IMPLANTS PLACED )",2C,Existing,mandible maxilla various lesion insertion endosseous dental implant singlefor multiple placement implant number claim number implant placed,-24.213717,-3.812001,0
178,SB721H,"HIP, OPEN REDUCTION WITH ACETABULAR OR FEMORAL OSTEOTOMIES",5B,Existing,hip open reduction acetabular femoral osteotomy,-31.125135,-5.732753,0
336,SB708M,"MANDIBLE, ATROPHY, LATERALISATION OF INFERIOR DENTAL NERVE WITH IMPLANT FIXTURES PLACEMENT, BILATERAL.",5A,Existing,mandible atrophy lateralisation inferior dental nerve implant fixture placement bilateral,21.323254,-10.156005,0
36,SE820L,"LYMPHATICS, LYMPHEDEMA, EXCISION (SMALL)",2A,Existing,lymphatics lymphedema excision small,71.629776,16.35069,0
7,SL704B,"BROW, DIRECT BROWPLASTY, UNILATERAL",3A,Existing,brow direct browplasty unilateral,-20.361328,-9.796215,0
199,SA700T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/LARGE BURSA, (>3CM) EXCISION BIOPSY",2B,Existing,tendon sheath subcutaneous tissue ganglionlarge bursa 3cm excision biopsy,2.545161,-81.19197,0
362,SB820M,"MANDIBLE, VARIOUS LESIONS, RECONSTRUCTION WITH BONE",5C,Existing,mandible various lesion reconstruction bone,-2.330357,5.853016,0
9,SI800C,"CERVIX, TEAR, SIMPLE REPAIR WITHOUT ANESTHESIA",MSP,Existing,cervix tear simple repair without anesthesia,-14.516804,-30.952091,0
391,SB849M,"MUSCLE (UPPER LIMB), RUPTURE, REPAIR",2C,Existing,muscle upper limb rupture repair,-45.33494,26.077486,0
320,SB807L,"UPPER LIMB/LOWER LIMB, OPEN FRACTURES WITH DEBRIDEMENT AND EXTERNAL FIXATION (RING / MULTIPLANAR / UNIPLANAR)",4B,Descriptor change,upper limblower limb open fracture debridement external fixation ring multiplanar uniplanar,-58.545586,-14.003342,0
109,SB718F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), POST MEDIAL RELEASE",4C,Existing,foot congenital talipes equinovarus ctev post medial release,-70.618515,-1.1038332,0
63,SK703F,"FACIAL, TRIGEMINAL NERVE BLOCK, ANAESTHETIC",1B,Existing,facial trigeminal nerve block anaesthetic,16.948341,41.959274,0
52,SH803S,"SPERMATIC CORD, SPERMATOCELE/EPIDIDYMAL CYST, EXCISION",2A,Existing,spermatic cord spermatoceleepididymal cyst excision,-62.652542,-24.036745,0
60,SA701R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITH/WITHOUT OPEN SURGERY)",4B,Existing,radiotherapy interstitial brachytherapy withwithout open surgery,28.868555,11.818234,0
30,SD729A,"ARTERY, VARIOUS LESIONS, FLUSH AORTOGRAM OR SINGLE VESSEL DIAGNOSTIC ANGIOGRAM",2C,Existing,artery various lesion flush aortogram single vessel diagnostic angiogram,1.0277786,-4.0383096,0
30,SK707B,"BRAIN, HYDROCEPHALUS, EXTERNAL VENTRICULAR DRAINAGE, BILATERAL",4A,Existing,brain hydrocephalus external ventricular drainage bilateral,-60.00811,-8.242965,0
8,SB800A,"ANKLE, DISLOCATION, OPEN REDUCTION",3B,Existing,ankle dislocation open reduction,-63.124233,-1.1428151,0
160,SI809V,"VAGINA, LACERATIONS (SIMPLE), DEBRIDEMENT/SUTURE (EXCLUDES EPISIOTOMY)",1C,Existing,vagina laceration simple debridementsuture excludes episiotomy,-24.148897,31.431438,0
184,SK805S,"SKULL, DEFECT, CRANIOPLASTY (SMALL)",5A,Existing,skull defect cranioplasty small,-23.225868,19.807898,0
100,SF806B,"BILE DUCT, VARIOUS LESIONS, REVISION HIGH BILIARY STRICTURE/ RADICAL RESECTION",7C,Existing,bile duct various lesion revision high biliary stricture radical resection,59.724895,0.66125906,0
163,SA868S,"SKIN, SCAR (EXTENSIVE), REVISION",3B,Existing,skin scar extensive revision,41.574127,-1.2237455,0
117,SL708L,"LENS, SECONDARY SCLERAL FIXATED INTRAOCULAR LENS IMPLANTATION",5A,Existing,lens secondary scleral fixated intraocular lens implantation,35.888306,-43.202927,0
28,SF805A,"ABDOMINAL/RETROPERITONEAL TUMOUR, RECURRENT RESECTION WITH OR WITHOUT VASCULAR INVOLVEMENT AND VASCULAR REPAIR",6B,Existing,abdominalretroperitoneal tumour recurrent resection without vascular involvement vascular repair,-6.1390824,-30.936928,0
480,SB705T,"TIBIA, TIBIAL SHAFT FRACTURE, INTRAMEDULLARY NAILING (LOCKED/UNLOCKED)",4B,Existing,tibia tibial shaft fracture intramedullary nailing lockedunlocked,13.648851,-36.451725,0
57,SB829B,"BONE (UPPER LIMB), TUMOUR (MALIGNANT), WIDE EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION",5A,Existing,bone upper limb tumour malignant wide excision reconstructioninternal fixation,-14.713959,-69.30954,0
307,SB804K,"KNEE, VARIOUS LESIONS, ARTHROTOMY",3B,Existing,knee various lesion arthrotomy,-7.5595293,12.801984,0
104,SI817U,"UTERUS, GENETIC ABNORMALITY, ULTRASOUND GUIDED CHORIONIC BIOPSY",1C,Existing,uterus genetic abnormality ultrasound guided chorionic biopsy,5.256943,20.910217,0
135,SK707S,"SACRAL ROOT BLOCK, NEUROLYTIC, RADIOFREQUENCY, IMAGING GUIDED, MORE THAN 2",4A,Existing,sacral root block neurolytic radiofrequency imaging guided 2,42.998863,31.678534,0
13,SF714A,ANGIOEMBOLISATION FOR TRAUMA,4B,Existing,angioembolisation trauma,-44.751358,7.6436253,0
105,SM722N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (SECONDARY REVISION)",5A,Existing,nose various lesion rhinoplasty secondary revision,18.448517,1.2199618,0
21,SA807B,"BREAST, GYNECOMASTIA, REDUCTION (UNILATERAL)",3A,Existing,breast gynecomastia reduction unilateral,-1.3022194,-14.660026,0
8,SK707A,"ARTERY, INTRACRANIAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing,artery intracranial aneurysmarteriovenous malformation embolisation,13.886766,16.024239,0
43,SD801A,"AORTA, DESCENDING AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT",7A,Existing,aorta descending aortic aneurysm excision insertion graft,-22.849495,-53.33285,0
182,SB725H,"HIP/KNEE, REMOVAL OF PROSTHESES WITH OR WITHOUT SPACER",5A,Existing,hipknee removal prosthesis without spacer,4.5199585,-3.6120508,0
339,SB711M,"MANDIBLE, VARIOUS LESIONS, BODY OR RAMUS OSTEOTOMY WITH INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",5C,Existing,mandible various lesion body ramus osteotomy insertion distraction osteogenesis device,82.41159,-13.790646,1
130,SF802D,"DUODENUM, TRAUMA, BYPASS OPERATION",5A,Existing,duodenum trauma bypass operation,-12.039921,42.954536,0
82,SI719U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + VAGINAL SACROSPINOUS LIGAMENT HYSTEROPEXY + ANTEIOR REPAIR + POSTERIOR REPAIR",4B,Existing,uterus prolapse cystocoele rectocoele amputation cervix vaginal sacrospinous ligament hysteropexy anteior repair posterior repair,50.60433,-15.104469,0
84,SA720S,"SOFT TISSUE (PALMAR SPACE), ABSCESS, DRAINAGE",2B,Existing,soft tissue palmar space abscess drainage,-34.282677,-18.973373,0
29,SE813L,"LYMPHATICS, CYSTIC HYGROMA, EXCISION (EXTENSIVE) WITH/WITHOUT THORACOTOMY",5C,Existing,lymphatics cystic hygroma excision extensive withwithout thoracotomy,23.599365,50.132965,0
8,SF709A,"ABDOMINAL CAVITY, RECURRENT ABDOMINAL TUMOR, RESECTION WITH COMPLETE ABDOMINOPELVIC PERITONECTOMY AND HYPERTHERMIC INTRAOPERATIVE CHEMOTHERAPY",7A,Existing,abdominal cavity recurrent abdominal tumor resection complete abdominopelvic peritonectomy hyperthermic intraoperative chemotherapy,-62.778637,26.359324,0
221,SF710M,"MOUTH, PERIODONTIUM, BONE DEFECT/DEFORMITY, AUGMENTATION (NON-AUTOGENOUS) /REGENERATION",2A,Existing,mouth periodontium bone defectdeformity augmentation nonautogenous regeneration,47.00075,-28.19698,0
71,SB805C,"CLAVICLE, CLAVICLE FRACTURE, SIMPLE",3B,Existing,clavicle clavicle fracture simple,-11.339887,-77.466286,0
156,SI805V,"VAGINA, FISTULA, REPAIR (SIMPLE)",4A,Existing,vagina fistula repair simple,-20.995344,32.919685,0
162,SD704V,"VEIN, CENTRAL VEINS (SUPERIOR VENA CAVA, BRACHIOCEPHALIC VEINS, INFERIOR VENA CAVA, ILIAC VEINS) VARIOUS LESIONS, DIAGNOSTIC VENOGRAPHY",2A,Existing,vein central vein superior vena cava brachiocephalic vein inferior vena cava iliac vein various lesion diagnostic venography,8.198354,3.334523,0
3,SF704A,"ABDOMEN, LAPAROTOMY, TRAUMA REOPERATION",5A,Existing,abdomen laparotomy trauma reoperation,-47.003902,-13.95939,0
76,SM704M,"MOUTH, VARIOUS LESIONS, UVULOTOMY",1B,Existing,mouth various lesion uvulotomy,-3.8064709,7.597678,0
143,SF804E,"ESOPHAGUS, TUMOR, ALLISON/IVOR-LEWIS OPERATION",6B,Existing,esophagus tumor allisonivorlewis operation,-21.8198,46.969532,0
87,SK719N,"NERVE (UPPER LIMB), DEFECT, GRAFT (SINGLE) USING MICROSURGICAL TECHNIQUES",4B,Existing,nerve upper limb defect graft single using microsurgical technique,-41.95982,-13.961661,0
230,SB841H,"HUMERUS, PROXIMAL /MID-SHAFT/SUPRACONDYLAR FRACTURE, PLATE FIXATION",4A,"Descriptor
change",humerus proximal midshaftsupracondylar fracture plate fixation,-12.184092,51.78227,0
104,SK740N,"PERIPHERAL NERVE, BLOCK, NEUROLYTIC (MORE THAN 2 NERVES)",2B,Existing,peripheral nerve block neurolytic 2 nerve,46.210865,39.83781,0
160,SD702V,"VEIN, VARICOSITY, HIGH LIGATION AND COMPLETE STRIPPING/EXCISION OF LONG/LONG & SHORT SAPHENOUS VEIN (ENDOSCOPIC)",4A,Existing,vein varicosity high ligation complete strippingexcision longlong short saphenous vein endoscopic,53.40288,-8.281988,0
49,SL718E,"EYELIDS, VARIOUS LESIONS, UPPER BLEPHAROPLASTY, BILATERAL",3C,Existing,eyelid various lesion upper blepharoplasty bilateral,-1.6713107,-8.380321,0
259,SB805J,"JOINTS (FINGER, INTERPHALANGEAL JOINTS, METACARPOPHALANGEAL JOINTS), SYNOVITIS, SYNOVECTOMY",2C,Existing,joint finger interphalangeal joint metacarpophalangeal joint synovitis synovectomy,-25.456594,1.9595184,0
79,SA715S,"SOFT TISSUE (LOWER LIMB), TUMOR/TUMOR-LIKE LESIONS, MARGINAL EXCISION",2C,Existing,soft tissue lower limb tumortumorlike lesion marginal excision,42.34988,-9.637092,0
41,SE801M,"MARROW, VARIOUS LESIONS, DIAGNOSTIC ASPIRATION",1A,Existing,marrow various lesion diagnostic aspiration,9.69886,24.734657,0
33,SA819B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING FREE FLAP (UNILATERAL)",7C,Existing,breast post mastectomy reconstruction using free flap unilateral,-4.6281834,-22.135986,0
134,SL700O,"OCULAR SURFACE PROCEDURE INCLUDING AMNIOTIC MEMBRANE TRANSPLANT (COMPLEX, CULTURED GRAFTS/EXTENSIVE RECONSTRUCTION)",5C,Existing,ocular surface procedure including amniotic membrane transplant complex cultured graftsextensive reconstruction,-0.56928426,44.0639,0
28,SI704F,"FALLOPIAN TUBE, STERILISATION",3A,"Uptable, Descriptor change",fallopian tube sterilisation,12.372604,5.180655,0
86,SL833E,"EYELIDS, PTOSIS, CORRECTION LEVATOR PALPEBRAE SUPERIORIS RESECTION (BILATERAL)",5B,Existing,eyelid ptosis correction levator palpebrae superioris resection bilateral,16.401838,-29.392225,0
181,SB724H,"HIP, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,hip various lesion revision total joint replacement,-27.291328,-23.062986,0
27,SB712B,"BURSA, BURSITIS, EXCISION BIOPSY (MORE THAN 1/BILATERAL)",2C,Existing,bursa bursitis excision biopsy 1bilateral,-1.9768672,-2.1159325,0
21,SE805L,"LYMPH NODE (INGUINAL), VARIOUS LESIONS, LIMITED EXCISION",3B,Existing,lymph node inguinal various lesion limited excision,-9.863873,-63.539505,0
183,SI832V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY WITH SKIN FLAP CLOSURE",5A,Descriptor change,vulva malignant condition radical vulvectomy skin flap closure,-39.21941,38.31265,0
487,SB801T,"TENDON (UPPER LIMB), BOWSTRINGING/ENTRAPMENT, PULLEY RECONSTRUCTION",3B,Existing,tendon upper limb bowstringingentrapment pulley reconstruction,-46.670948,16.637157,0
149,SK724S,"SPINAL CORD, STIMULATION/MODULATION",5C,Descriptor change,spinal cord stimulationmodulation,-65.045135,-24.662333,0
106,SB715F,"FOOT, ACHILLES TENDON RECONSTRUCTION",4A,Existing,foot achilles tendon reconstruction,-62.530872,14.570909,0
10,SB802A,"ANKLE, VARIOUS LESIONS, ARTHRODESIS (SURGICAL FUSION)",5A,Existing,ankle various lesion arthrodesis surgical fusion,41.94731,60.216103,0
64,SC813T,"THORAX, VARIOUS LESIONS, THORACOTOMY WITH PULMONARY DECORTICATION, WITH OR WITHOUT THORACOPLASTY AND/OR MYOPLASTY",5A,Existing,thorax various lesion thoracotomy pulmonary decortication without thoracoplasty andor myoplasty,24.439587,48.814453,0
101,SG802U,"URETER, CUTANEOUS URETEROSTOMY, CLOSURE",2C,Existing,ureter cutaneous ureterostomy closure,-53.851467,13.902168,0
129,SM711S,"SINUSES, NASAL, VARIOUS LESIONS OF ANTRUM, PROOF PUNCTURE WITH/WITHOUT LAVAGE",1B,Descriptor change,sinus nasal various lesion antrum proof puncture withwithout lavage,34.48133,-6.241018,0
32,SE816L,"LYMPHATICS, LYMPHEDEMA, EXCISION (EXTENSIVE AND COMPLEX)",7C,Existing,lymphatics lymphedema excision extensive complex,73.20921,15.999588,0
534,SB806U,"UPPER LIMB, VARIOUS LESIONS, FOREQUARTER AMPUTATION",6B,Existing,upper limb various lesion forequarter amputation,-35.146812,3.8023543,0
41,SG820B,"BLADDER, VARIOUS LESIONS, REPAIR, COMPLICATED (E.G. DEFECT >3CM OR TRIGONE INVOLVEMENT, BLADDER RECONSTRUCTION)",4A,New,bladder various lesion repair complicated eg defect 3cm trigone involvement bladder reconstruction,-14.443237,11.164828,0
39,SK803B,"BRAIN, CAROTICO-CAVERNOUS FISTULA, EXTRACRANIAL AND INTRACRANIAL TRAPPING",7B,Existing,brain caroticocavernous fistula extracranial intracranial trapping,-7.789132,-10.77608,0
60,SD818A,"ARTERY, DEFECT, ARTERIAL PATCH GRAFT",4A,Existing,artery defect arterial patch graft,0.47010088,2.2085347,0
110,SM800N,"NECK, ABSCESS (DEEP NECK SPACE/S), TRANSCERVICAL DRAINAGE (INCLUDES PARAPHARYNGEAL/RETROPHARYNGEAL SPACES)",3C,New,neck abscess deep neck space transcervical drainage includes parapharyngealretropharyngeal space,-36.129333,-20.323896,0
284,SB835J,"JOINTS (WRIST), VARIOUS LESIONS, ARTHRODESIS",4B,Existing,joint wrist various lesion arthrodesis,39.291775,60.869858,0
213,SF702M,"MOUTH, INTRA ORAL TUMOUR RADICAL EXCISION WITH RESECTION OF MANDIBLE AND BILATERAL NECK DISSECTION",7A,Existing,mouth intra oral tumour radical excision resection mandible bilateral neck dissection,-10.659323,-41.44084,0
78,SB701E,"ELBOW, CONDYLE/RADIAL HEAD FRACTURE, RADIAL HEAD EXCISION/CONDYLE/ARTHROPLASTY",4B,Existing,elbow condyleradial head fracture radial head excisioncondylearthroplasty,9.460704,-18.076363,0
155,SK731S,"SPINE, THORACIC/LUMBAR, EPIDURAL ADHESIOLYSIS, MULTIPLE CATHETER",3C,Existing,spine thoraciclumbar epidural adhesiolysis multiple catheter,17.543312,-70.08526,0
22,SB707B,"BONE, TUMOR (MALIGNANT), AROUND JOINTS WITH LIMB RECONSTRUCTION AND JOINT REPLACEMENT",7A,Existing,bone tumor malignant around joint limb reconstruction joint replacement,-25.134676,-21.099154,0
147,SD828H,"HEART, VARIOUS LESIONS, CARDIAC BIOPSY",2B,Existing,heart various lesion cardiac biopsy,0.8041494,-1.2969059,0
372,SB830M,"MAXILLA, FRACTURE - LEFORT I, CLOSED REDUCTION AND FIXATION",4A,Existing,maxilla fracture lefort closed reduction fixation,-14.675541,-58.667988,0
212,SB823H,"HEAD-FACE, TRAUMA, CRANIOFACIAL APPROACH REDUCTION AND FIXATION",5C,Existing,headface trauma craniofacial approach reduction fixation,36.573006,28.792637,0
29,SI705F,"FALLOPIAN TUBE, TUBAL PATHOLOGY, SALPINGECTOMY, MIS",3C,Existing,fallopian tube tubal pathology salpingectomy mi,36.214188,-22.856054,0
10,SD709A,"ARTERIOVENOUS FISTULA, SYNTHETIC GRAFT",5A,Existing,arteriovenous fistula synthetic graft,24.543419,61.45605,0
386,SB844M,"MUSCLE (LOWER LIMB), RUPTURE, REPAIR",2C,Existing,muscle lower limb rupture repair,-45.52631,26.111929,0
35,SE819L,"LYMPHATICS, LYMPHEDEMA, EXCISION (MODERATE)",3A,Existing,lymphatics lymphedema excision moderate,72.28118,16.487598,0
75,SL820E,"EYELIDS, CHALAZION CYST/STYE, EXCISION",MSP,Existing,eyelid chalazion cyststye excision,-2.691932,-7.010325,0
143,SM701T,"THROAT, UVULOPALATOPHARYNGOPLASTY (U3P), WITH/WITHOUT TONSILLECTOMY",4B,Descriptor change,throat uvulopalatopharyngoplasty u3p withwithout tonsillectomy,2.6401196,-6.464411,0
305,SF703S,"STOMACH, OBESITY, SLEEVE GASTRECTOMY",5B,"Descriptor
change",stomach obesity sleeve gastrectomy,-18.68695,-42.982903,0
475,SB700T,"TENDON (UPPER LIMB/ LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (MULTIPLE)",5C,Descriptor change,tendon upper limb lower limb various lesion tendon transfer multiple,-48.020332,18.552582,0
1,SF701A,"ABDOMEN/PELVIS, CATHETER BLOCKAGE, IMAGING GUIDED CATHETER CHANGE/CATHETER ADJUSTMENT/CHECK TUBE",1A,Existing,abdomenpelvis catheter blockage imaging guided catheter changecatheter adjustmentcheck tube,35.030712,-70.82753,0
248,SB714J,"JOINTS (UPPER LIMB, SHOULDER), SEPTIC ARTHRITIS/EFFUSION, CURETTAGE/DEBRIDEMENT AND IRRIGATION",4A,Existing,joint upper limb shoulder septic arthritiseffusion curettagedebridement irrigation,-8.72512,-22.900452,0
5,SD704A,ARRHYTHMIA SURGERY MAZE (INCLUDES THE MINI- MAZE PROCEDURE WITH RADIOFREQUENCY CLAM),6B,Existing,arrhythmia surgery maze includes mini maze procedure radiofrequency clam,6.2994447,-7.2493725,0
135,SD816H,"HEART, LEFT VENTRICULAR ANEURYSM, RESECTION WITHOUT CORONARY ARTERY BYPASS",6C,Existing,heart left ventricular aneurysm resection without coronary artery bypass,-28.93272,43.543236,0
54,SK818B,"BRAIN, VARIOUS LESIONS, INSERTION OF OMMAYA RESERVOIR",4A,Existing,brain various lesion insertion ommaya reservoir,-8.200305,-4.4903355,0
125,SL807L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (BILATERAL)",5A,Existing,lens cataract extraction intraocular lens implant bilateral,39.757057,-45.19735,0
3,SG702B,"BLADDER, DIVERTICULUM, MIS EXCISION",4A,Existing,bladder diverticulum mi excision,31.7786,19.916033,0
299,SF807R,"RECTUM, VARIOUS LESIONS, ABDOMINO-PERINEAL PULL THROUGH RESECTION WITH COLO-ANAL ANASTOMOSIS",6B,Existing,rectum various lesion abdominoperineal pull resection coloanal anastomosis,-8.119777,29.96686,0
193,SF711L,"LIVER, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (FOCAL LESIONS, TARGETED)",2A,Existing,liver various lesion imaging guided percutaneous biopsy focal lesion targeted,4.451836,30.533638,0
46,SA834B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH SENTINEL NODE BIOPSY/AXILIARY NODE SAMPLING",5A,Existing,breast tumor malignant nippleskin sparing mastectomy sentinel node biopsyaxiliary node sampling,15.9432,-46.844124,0
